form	sense	pos
allawerei	Redlichkeit	Noun, common, feminine
allis	überhaupt	Adverb
alls	all, jeder, ganz	Adjective
allwaldands	Allmächtiger	Noun, common, masculine
us-alþan	alt werden	Verb
alþeis	alt	Adjective
[Alul]	[Alul]	Noun, proper
Ameinadab*	Ameinadab*	Noun, proper
amen	amen	Foreign word
Ammo*	Ammo*	Noun, proper
ams*	Schulter	Noun, common, masculine
amsa*	amsa*	Noun, common, masculine
an	denn, nun	Particle
ana	darauf, außerdem	Adverb
anabusns	Gebot	Noun, common, feminine
anafilh	Empfehlung, Überlieferung	Noun, common, neuter
anahaimeis*	in der Heimat befindlich	Adjective
anaks	plötzlich	Adverb, temporal
anakunnains	Lesung	Noun, common, feminine
analageins	Auflegung	Noun, common, feminine
analaugnei	Verborgenheit	Noun, common, feminine
analaugns	verborgen	Adjective
analeiko	auf gleiche Weise	Adverb
anamahts	Übermacht, Mißhandlung	Noun, common, feminine
anaminds	versteckte Meinung, vermutung	Noun, common, feminine
uz-anan	ausatmen	Verb
Ananias*	Ananias*	Noun, proper
Ananeias*	Ananeias*	<none>
ananiujiþa*	Erneuerung	Noun, common, feminine
anaqal	Ruhe	Noun, common
anaqiss	Lästerung	Noun, common, feminine
anasiuns	sichtbar	Adjective
anastodeins	Anfang	Noun, common, feminine
anaþaima	anaþaima	Foreign word
Anaþoþ	Anaþoþ	Noun, proper
anawairþs	zukünftig	Adjective
anawiljei	Billigkeit	Noun, common, feminine
and	entlang, über __ hin, auf __ hin	Preposition, +A
andabauhts	Lösegeld	Noun, common, feminine
andabeit	Tadel	Noun, common, neuter
andahafts	Antwort; Verteidigung	Noun, common, feminine
andahait	Bekenntnis	Noun, common, neuter
andalauni	Gegenlohn; Vergeltung	Noun, common, neuter
andanahti	Abend	Noun, common, neuter
andaneiþa	feindlich	Noun, common, masculine
andanem	das Empfangen	Noun, common, neuter
andanemeigs	festhaltend	Adjective
andanems	angenehm	Adjective
andanumts	Aufnahme, Annahme; Erhebung	Noun, common, feminine
andasets	verabscheuungswert	Adjective
andastaþjis	Widersacher	Noun, common, masculine
andastaua	Gegner vor Gericht	Noun, common, masculine
andaþāhts	nüchtern, verständig	Adjective
andaugi	Antlitz	Noun, common, neuter
andaugiba	freimütig, offen	Adverb
andaugjo	offen	Adverb
andawairþi	Preis	Noun, common, neuter
andawaurdi	Antwort	Noun, common, neuter
andawizns	Sold; Notdurft	Noun, common, feminine
andawleizn*	Angesicht	Noun, common, neuter
andbahti	Amt, Dienst	Noun, common, neuter
andbahtjan	etwas  leisten	Verb
andbahts	Diener	Noun, common, masculine
andeis	Ende	Noun, common, masculine
andhuleins	Enthüllung, Offenbarung	Noun, common, feminine
andilaus	endlos	Adjective
andizuh	anders, sonst	Conjunction
Andraias	Andraias	Noun, proper
andstald*	Darbietung, Beistand	Noun, common, neuter
andwairþi	Gegenwart, Angesicht, Person	Noun, common, neuter
andwairþs	gegenwärtig	Adjective
Anna	Anna	Noun, proper
Annas	Annas	Noun, proper
anno*	Sold	Noun, common, feminine
Ano*	Ano*	Noun, proper
ans*	Balken	Noun, common, masculine
ansteigs	gnädig	Adjective
ansts	Freude; Dank; Gnade, Gunst	Noun, common, feminine
Antiaukia*, Antiokia*	Antiaukia*, Antiokia*	Noun, proper
anþar	anderer, zweiter	Adjective
anþarleikei	Verschiedenheit	Noun, common, feminine
anþarleiko	anders	Adverb
Appaullo*	Appaullo*	Noun, proper
apaustaulei	Apostolat	Noun, common, feminine
apaustaulus	Apostel	Noun, common, masculine
aqizi	Axt	Noun, common, feminine
ara	Aar	Noun, common, masculine
Arabia	Arabia	Noun, proper
Araita*	Araita*	Noun, proper
Aram	Aram	Noun, proper
arbaidjan	arbeiten; dulden	Verb
bi-arbaidjan	seine Ehre setzen in, trachten nach	Verb
miþ-arbaidjan	mit Jem. arbeiten; mit Jem. leiden	Verb
þairh-arbaidjan	dúrcharbeiten	Verb
arbaiþs	Arbeit, Drangsal	Noun, common, feminine
arbi	das Erbe	Noun, common, neuter
arbinumja	der Erbe	Noun, common, masculine
arbja	der Erbe	Noun, common, masculine
arbjo	Erbin	Noun, common, feminine
Areimaþaia	Areimaþaia	Noun, proper
Areistarkus	Areistarkus	Noun, proper
Arfaksad*	Arfaksad*	Noun, proper
arƕazna	Pfeil	Noun, common, feminine
arjan	pflügen	Verb
arka	hölzerner Kasten, Arche; Futteral, Beutel	Noun, common, feminine
arkaggilus	Erzengel	Noun, common, masculine
Arkippus	Arkippus	Noun, proper
armahairtei	Barmherzigkeit	Noun, common, feminine
armahairtiþa	Almosen	Noun, common, feminine
armahairts	barmherzig	Adjective
armaio	Barmherzigkeit	Noun, common, feminine
arman	sich eines erbarmen	Verb
ga-arman	sich eines erbarmen	Verb
arms*	arm, beklagenswert	Adjective
arms	Arm	Noun, common, masculine
arniba	sicher	Adverb
aromata	aromata	Noun, common
[Artaksairksus]	[Artaksairksus]	Noun, proper
arwjo	umsonst	Adverb
Asaf*	Asaf*	Noun, proper
asans	Sommer	Noun, common, feminine
Aser*	Aser*	Noun, proper
Asgad*	Asgad*	Noun, proper
Asia	Asia	Noun, proper
asiluqairnus	Eselsmühle	Noun, common, feminine
asilus	Esel	Noun, common, masculine
Asmoþ	Asmoþ	Noun, proper
asneis	Mietling, Tagelöhner	Noun, common, masculine
assarjus*	Aß, Pfennig	Noun, common, masculine
Assaum	Assaum	Noun, proper
astaþ	Sicherheit	Noun, common
asts	Ast	Noun, common, masculine
at	von	Preposition, +AD
ataþni*	Jahr	Noun, common, neuter
Ater*, Ateir*	Ater*, Ateir*	Noun, proper
atgagg*	Zugang	Noun, common, neuter
atisk	Saat	Noun, common
fra-atjan	zum Essen austeilen	Verb
atta	Vater	Noun, common, masculine
atwitains*	das Beobachten	Noun, common, feminine
Aþeinim	Aþeinim	Noun, proper
aþnam	Jahre	Noun, common
aþþan	aber doch	Conjunction
audagei	Seligkeit	Noun, common, feminine
audagjan	selig preisen	Verb
audags	selig	Adjective
audahafts	beglückt	Adjective
aufto	allerdings; wohl; vielleicht	Adverb
augadauro	Fenster	Noun, common, neuter
augjan	zeigen	Verb
at-augjan	einem  zeigen	Verb
augo	Auge	Noun, common, neuter
auhjodus	Lärm	Noun, common, masculine
auhjon	lärmen	Verb
auhns*	Ofen	Noun, common, masculine
auhsa	Ochse	Noun, common, masculine
auhsus	Ochse	Noun, common, masculine
auhuma	höher	Adjective, Comparative
auhumists	höchster	Adjective, Superlative
auk	denn, nämlich	Conjunction
aukan	sich mehren	Verb
ana-aukan	hinzufügen zu	Verb
bi-aukan	hinzufügen	Verb
ga-aukan	sich vermehren, zunehmen	Verb
auknan	sich mehren	Verb
bi-auknan	sich vermehren, zunehmen	Verb
Auneiseifaurus	Auneiseifaurus	Noun, proper
Aunisimus	Aunisimus	Noun, proper
aurahjom	Grabdenkmäler, Gräber	Noun, common
aurali*	Schweißtuch	Noun, common, neuter
aurkjus*	Krug	Noun, common, masculine
aurkeis*	aurkeis*	Noun, common, masculine
aurtigards	Garten	Noun, common, masculine
aurtja	Landmann, Winzer	Noun, common, masculine
auso	Ohr	Noun, common, neuter
auþida	Wüste	Noun, common, feminine
auþeis*	öde	Adjective
auþs*	auþs*	<none>
aweþi	Schafherde	Noun, common, neuter
awiliudon	einem  danken	Verb
awiliuþ	Dank	Noun, common, neuter
awistr*	Schafstall	Noun, common, neuter
awo	Großmutter	Noun, common, feminine
Axaïa	Axaïa	<none>
azetjam	üppig lebend	Noun, common
azets*	leicht	Adjective
azgo	Asche	Noun, common, feminine
azwme	am Tage der ungesäuerten Brode	Noun, common
-ba	wenn	Conjunction, enclitic
Babawis	Babawis	Noun, proper
badi	Bett	Noun, common, neuter
Bagauis	Bagauis	Noun, proper
bagms	Baum	Noun, common, masculine
bai	beide	Numeral, other
Baiailzaibul	Baiailzaibul	Noun, proper
baidjan	einen  zwingen	Verb
ga-baidjan	einen  zwingen	Verb
Baidsaiïdan	Baidsaiïdan	<none>
Bailiam	Bailiam	Noun, proper
Bainiamein	Bainiamein	Noun, proper
bairabagms	Maulbeerbaum	Noun, common, masculine
bairan	tragen 	Verb
at-bairan	bringen	Verb
inn-atbairan	hineinbringen	Verb
fra-bairan	vertragen	Verb
ga-bairan	vergleichen	Verb
þairh-bairan	hindurchtragen	Verb
us-bairan	hinaustragen; hervorbringen; vorbringen d.i. antworten; ertragen	Verb
ūt-bairan	hinaustragen	Verb
Bairauja	Beroia in Thrakien	Noun, proper
bairgahei	Gebirgsgegend	Noun, common, feminine
bairgan	einen bergen, bewahren	Verb
ga-bairgan	einen bergen, bewahren	Verb
bairhtei	Helle	Noun, common, feminine
bairhtjan	offenbaren	Verb
ga-bairhtjan	offenbaren	Verb
bairhts	hell, offenbar	Adjective
bairhtaba	offen	Adverb, Comparative
baitrei	Bitterkeit	Noun, common, feminine
baitrs	bitter	Adjective
Baiþil	Baiþil	Noun, proper
[Baiþlaem]	[Baiþlaem]	<none>
Baiþsaïdan	Baiþsaïdan	<none>
bajoþs	beide	Numeral, other
balgs	Schlauch	Noun, common, masculine
†balsagga	Hals, Nacken	<none>
balsan	Salbe	Noun, common, neuter
balþaba	kühn, freimütig	Adverb
balþei	Kühnheit, Freimut	Noun, common, feminine
balþjan	kühn sein, wagen	Verb
balwawesei	Bosheit	Noun, common, feminine
balweins	Pein; Strafe; Folter	Noun, common, feminine
balwjan	martern	Verb
Banauis	Banauis	Noun, proper
bandi	Band, Fessel	Noun, common, feminine
bandja	Gefangener	Noun, common, masculine
bandwa	Zeichen	Noun, common, feminine
bandwjan	ein Zeichen, einen Wink geben, andeuten	Verb
ga-bandwjan	durch Winke andeuten	Verb
bandwo	Zeichen	Noun, common, feminine
banja*	Schlag, Wunde	Noun, common, feminine
bansts	Scheuer	Noun, common, masculine
Barabba(s)	Barabba	Noun, proper
Barakeias*	Barakeias*	Noun, proper
barbarus	Nicht	Noun, common, masculine
barizeins	von Gerste bereitet	Adjective
barms	Busen, Schoß	Noun, common, masculine
barn	Kind	Noun, common, neuter
Barnabas	Barnabas	Noun, proper
barnilo	Kindlein	Noun, common, neuter
barniskei	kindliches Wesen	Noun, common, feminine
barniski	Kindheit	Noun, common, neuter
barnisks	kindlich	Adjective
Barteimaiaus	Barteimaiaus	Noun, proper
Barþaulaumaius	Barþaulaumaius	Noun, proper
barusnjan	fromm verehren	Verb
Bassus*	Bassus*	Noun, proper
batiza	besser	Adjective
batista	batista	Adjective, Superlative
ga-batnan	Vorteil erlangen	Verb
Batwins*	Batwins*	Noun, proper
bauains	Wohnung	Noun, common, feminine
bauan	wohnen, bewohnen	Verb
ga-bauan	Wohnung aufschlagen	Verb
Bauanairgais	Bauanairgais	Noun, proper
Bauauz*	Bauauz*	Noun, proper
us-baugjan	ausfegen	Verb
uf-bauljan	aufblasen	Verb
baur	der Geborene	Noun, common, masculine
baurgja	Bürger	Noun, common, masculine
baurgs	Turm, Burg; Stadt	Noun, common, feminine
baurgswaddjus	Stadtmauer	Noun, common, feminine
baurþei	Bürde	Noun, common, feminine
bauþs	stumm	Adjective
beidan	auf etwas warten	Verb
ga-beidan	ausharren, ertragen	Verb
us-beidan	erwarten	Verb
beist	Sauerteig	Noun, common, neuter
ga-beistjan	durchsäuern	Verb
beitan	beißen	Verb
and-beitan	schelten, bedrohen	Verb
Beroþ	Beroþ	Noun, proper
berusjos	Eltern	Noun, common, masculine
Beþania	Beþania	Noun, proper
Beþlaihaim	Beþlaihaim	Noun, proper
Beþsaeida	Beþsaeida	Noun, proper
Beþsfagei	Beþsfagei	Noun, proper
bi	bei, um	Preposition, +AD
bibaurgeins	Lager	Noun, common, feminine
bida	Bitte, Gebet; Anliegen, Aufforderung	Noun, common, feminine
bidagwa	Bettler	Noun, common, masculine
bidjan	bitten, beten, betteln	Verb
ga-bidjan	beten, bitten	Verb
us-bidan	erbitten	Verb
bifaih	Übervorteilung	Noun, common, neuter
bifaihon	Übervorteilung	Noun, common
bihait	üble Nachrede	Noun, common, neuter
bihaitja	Prahler	Noun, common, masculine
biƕe	woran	Adverb
bijands	zugleich aber rüste auch	Participle, present
bimait	Beschneidung	Noun, common, neuter
bindan	einen mit etwas  binden	Verb
and-bindan	lösen; auflösen, erklären; entbinden von	Verb
bi-bindan	umbinden mit 	Verb
ga-bindan	binden	Verb
bireikei	Gefahr	Noun, common, feminine
birekjai	in Gefahr kommen	Noun, common
birodeins	Murren; Verleumdungen	Noun, common, feminine
birūnains	Nachstellung, Anschlag	Noun, common, feminine
birusjos	Eltern	<none>
bisauleins	Befleckung	Noun, common, feminine
bistug(g)q	Anstoß	Noun, common, neuter
bisunjane	ringsum	Adverb
biþe	nachher, später	Adverb
ana-biudan	entbieten, befehlen	Verb
faur-biudan	verbieten	Verb
biugan	beugen; sich beugen	Verb
ga-biugan	beugen	Verb
biuhti	Gewohnheit	Noun, common, neuter
biuhts	gewohnt	Adjective
biuþs*	Tisch	Noun, common, masculine
blandan	sich vermischen mit	Verb
blauþjan	abschaffen	Verb
ga-blauþjan	abschaffen	Verb
bleiþei	Wohlwollen, Güte	Noun, common, feminine
bleiþjan	barmherzig sein	Verb
ga-bleiþjan	sich erbarmen	Verb
bleiþs	barmherzig; dem Guten zugetan	Adjective
uf-blesan	aufblasen	Verb
bliggwan	schlagen	Verb
us-bliggwan	durchbleuen	Verb
ga-blindjan	verblenden	Verb
af-blindnan	erblinden	Verb
blinds	blind	Adjective
bloma*	Blume	Noun, common, masculine
blotan	verehren	Verb
blotinassus	Verehrung	Noun, common, masculine
bloþ	Blut	Noun, common, neuter
bloþarinnandei	blutflüssig	Participle, present
bnauan	reiben, zerreiben	Verb
boka	Buchstabe	Noun, common, feminine
bokareis	Schriftgelehrter; Schreiber	Noun, common, masculine
bota	Nutzen	Noun, common, feminine
botjan	nützen, bessern	Verb
ga-botjan	verbessern, herstellen	Verb
braƕa	im Augenblick	Noun, common
braidei	Breite	Noun, common, feminine
us-braidjan	ausbreiten nach	Verb
braiþs	breit	Adjective
brakja	Ringen, Ringkampf	Noun, common, feminine
ga-brannjan	verbrennen	Verb
in-brannjan	in Brand stecken	Verb
briggan	bringen	Verb
brikan	brechen; zerstören	Verb
ga-brikan	zerbrechen	Verb
uf-brikan	verwerfen, verachten	Verb
brinnan	brennen	Verb
uf-brinnan	verbrennen	Verb
brinno	Fieber	Noun, common, feminine
broþar	Bruder	Noun, common, masculine
broþrahans	Brüder	Noun, common, masculine
broþrulubo	Bruderliebe	Noun, common, feminine
brūkjan	gebrauchen	Verb
us-bruknan	ausgebrochen werden	Verb
brūks	brauchbar	Adjective
brunjo	Brustharnisch	Noun, common, feminine
brunna	Brunnen	Noun, common, masculine
brusts	Brust	Noun, common, feminine
brūþfaþs	Bräutigam	Noun, common, masculine
brūþs	Neuvermählte, Schwiegertochter	Noun, common, feminine
bugjan	kaufen	Verb
fra-bugjan	verkaufen für	Verb
us-bugjan	erkaufen	Verb
and-bundnan	entbunden werden	Verb
bwssaun	feines Linnen	Noun, common
ga-daban	was ihm bevorstand	Verb
daddjan	säugen	Verb
dags	Tag	Noun, common, masculine
daigs	Teig	Noun, common, masculine
Daikapaulis*	Daikapaulis*	Noun, proper
daila	Teilnahme, Gemeinschaft	Noun, common, feminine
dailjan	teilen, zuteilen, mitteilen	Verb
af-dailjan	abteilen, einen Teil abgeben 	Verb
dis-dailjan	verteilen, zerteilen	Verb
fra-dailjan	verteilen unter 	Verb
ga-dailjan	zuteilen, zerteilen	Verb
dails	Teil	Noun, common, feminine
daimonareis	Besessener	Noun, common, masculine
dals*	Grube; Schlucht, Tal	Noun, common, masculine
dalaþ	zu Tal, abwärts, nieder; auf die Erde	Adverb, directional
dalaþa	unten	Adverb, locative
dalaþro	von unten, unten	Adverb, directional
Dalmatia	Dalmatia	Noun, proper
Damaskon	Damaskon	Noun, proper
faur-dammjan	verdämmen, versperren	Verb
daubei	Taubheit	Noun, common, feminine
daubiþa	Taubheit	Noun, common, feminine
ga-daubjan	verstocken	Verb
af-daubnan	ertauben, verstockt werden	Verb
us-daudjan	sich beeifern	Verb
daufs	taub, verstockt	Adjective
dauhtar	Tochter	Noun, common, feminine
dauhts	Bewirtung	Noun, common, feminine
af-dauiþs*	geschunden, geplagt	<none>
dauns	Geruch	Noun, common, feminine
daupeins	Abwaschung	Noun, common, feminine
daupjan	taufen	Verb
uf-daupjan	taufen	Verb
daupjands	Täufer	Noun, common, masculine
daur	 Tor	Noun, common, neuter
daurawarda	Türhüterin	Noun, common, feminine
daurawardo	Türhüterin	Noun, common, feminine
daurawards	Türhüter	Noun, common, masculine
Dauriþaius*	Dauriþaius*	Noun, proper
daurons	 Tor, Tür	Noun, common, feminine
ga-daursan	sich erkühnen, wagen	Verb
dauþeins	das Absterben	Noun, common, feminine
dauþjan	töten	Verb
af-dauþjan	töten	Verb
ga-dauþjan	Tod bringen, töten	Verb
ga-dauþnan	sterben	Verb
miþ-gadauþnan	mit sterben	Verb
dauþs	tot	Adjective
dauþubleis*	zum Tode bestimmt	Adjective
dauþus	Tod	Noun, common, masculine
Daweid	Daweid	Noun, proper
Demas	Demas	Noun, proper
diabula	Verleumderin	Noun, common, feminine
diabaulus	Teufel	Noun, common, masculine
diabulus	diabulus	<none>
diakaunus	Diakon	Noun, common, masculine
Didimus	Didimus	Noun, proper
digan	kneten, aus Ton bilden	Verb
ga-digan	kneten, aus Ton bilden	Verb
digrei	Fülle	Noun, common, feminine
distaheins*	Zerstreuung	Noun, common, feminine
diswiss	Auflösung d.i. Abmarsch, das Scheiden	Noun, common, feminine
diupei	Tiefe	Noun, common, feminine
diupiþa	Tiefe	Noun, common, feminine
ga-diupjan	vertiefen	Verb
diups	tief	Adjective
dius*	wildes Tier	Noun, common, neuter
diwan	sterben	Verb
af-dobnan	af-dobnan	Verb
af-dojan*	geplagt	<none>
domjan	urteilen, beurteilen	Verb
af-domjan	beurteilen, verurteilen	Verb
bi-domjan	verurteilen	Verb
ga-domjan	urteilen, entscheiden	Verb
doms*	Ruhm	Noun, common, masculine
ga-draban	aushauen	Verb
†dragan	tragen	Verb
ga-dragan	zusammentragen	Verb
dragk	Trank	Noun, common, neuter
dragkjan	tränken mit	Verb
ga-dragkjan	tränken	Verb
draibjan	treiben; plagen	Verb
drakma*	Drachme	Noun, common, masculine
drauhsnos	Brocken; Brosamen	Noun, common, feminine
drauhtinassus	Feldzug	Noun, common, masculine
drauhtinon	Kriegsdienste tun, zu Felde ziehn	Verb
drauhtiwitoþ	Feldzug	Noun, common, neuter
af-drausjan	hinabstürzen	Verb
ga-drausjan	hinabstürzen	Verb
drausnos	Brocken; Brosamen	<none>
dreiban	treiben	Verb
us-dreiban	austreiben, vertreiben	Verb
drigkan	etwas trinken	Verb
ana-drigkan	sich antrinken, betrinken	Verb
ga-drigkan	trinken	Verb
driugan	zu Felde ziehen	Verb
driusan	fallen	Verb
at-driusan	fallen in	Verb
dis-driusan	einen  befallen	Verb
ga-driusan	hinfallen	Verb
us-driusan	herausfallen	Verb
driuso	Abhang	Noun, common, feminine
drobjan	trüben; irre machen; aufwiegeln	Verb
drobna	Aufruhr	Noun, common, masculine
drobnan	unruhig werden	Verb
ga-drobnan	in Bestürzung geraten	Verb
in-drobnan	in Bestürzung geraten	Verb
drugkanei	Trunkenheit	Noun, common, feminine
drunjus	Schall	Noun, common, masculine
drus	Fall	Noun, common, masculine
du	du	Adverb
dugan*	taugen	Verb
duƕe	wozu	Adverb
