sense	pos	Concepticon_ID	Concepticon_Gloss
[Ailul]	<none>		
Aimmeira	Noun, proper		
eingeboren	Noun, common, masculine		
einzig	Adjective		
vereinzelt, alleinstehend	Adjective		
Einheit, Einmütigkeit	Noun, common, feminine		
vereinzeln, trennen	Verb	1359	SEPARATE
Einfalt	Noun, common, feminine		
einfach	Adjective	686	EASY
einfältig	Adverb, Comparative		
ein jeder	Pronoun, indefinite		
jeder von beiden	Pronoun, indefinite		
elf	Numeral, cardinal	1706	ELEVEN
Ainnaa	Noun, proper		
Ainok	Noun, proper		
Ainos	Noun, proper		
ains	Adjective		
niemand, keiner	Pronoun, indefinite	3887	NOBODY
Aiodia	Noun, proper		
Aipafras	Noun, proper		
Aipafraudeitus	Noun, proper		
Bischofsamt	Noun, common, feminine		
Bischof	Noun, common, masculine		
Brief	Noun, common	1612	LETTER
früh	Adverb, temporal	672	EARLY
längst, eher	Adverb, Comparative		
Airastus	Noun, proper		
Gesandter sein, unterhandeln	Verb		
Vorfahren	Adjective, Comparative		
heilig	Adjective	1702	HOLY
Lauterkeit, Echtheit	Noun, common, feminine		
Airmodam	Noun, proper		
Airmogaineis	Noun, proper		
Erde, Land	Noun, common, feminine	1228	EARTH (SOIL)
von irdischer Abkunft	Adjective		
irdisch	Adjective		
Bote	Noun, common, masculine		
Irrlehre	Noun, common, feminine		
irre geführt	Adjective		
Irrlehre	Noun, common, feminine		
irre führen	Verb		
irre machen	Verb		
sich scheuen vor	Verb		
sich scheuen vor	Verb		
Mutter	Noun, common, feminine	1216	MOTHER
Eid	Noun, common, masculine		
oder	Conjunction	1014	OR
Evangelium	Noun, common, neuter		
aiwaggelista	Noun, common, masculine		
das Evangelium verkünden	Verb		
Evangelium	Noun, common, feminine		
ewig	Adjective		
Schande	Noun, common, neuter		
schändlich handeln	Verb		
beschämen, beschimpfen	Verb		
sich anstrengen	Verb		
Segen 	Noun, common, masculine		
Aiwneikai	Noun, proper		
Zeit, Ewigkeit	Noun, common, masculine	892	TIME
Aiwwa	Noun, proper		
Dank	Noun, common		
Erz	Noun, common, neuter		
Aizaikeia	Noun, proper		
Erzschmied	Noun, common, masculine		
Aizleim	Noun, proper		
Aizor	Noun, proper		
Ewigkeit	Noun, common, feminine		
sondern	Conjunction		
Akaja	Noun, proper		
Akajus	Noun, proper		
Akaïkus	Noun, proper		
aber	Conjunction	3843	BUT
Essig	Noun, common		
Frucht	Noun, common, neuter	1507	FRUIT
unfruchtbar	Adjective		
Acker	Noun, common, masculine	212	FIELD
Akwla	Noun, proper		
Salbenbüchse aus Alabaster	Noun, common		
Brandopfer	Noun, common, feminine		
Alaiksandrus	Noun, proper		
insgesamt	Adverb		
Gesamtheit der Menschen	Noun, common, masculine		
alamannans	<none>		
Alamod	Noun, proper		
wachsen	Verb	479	GROW
an allem Mangel leidend	Adjective		
Alter	Noun, common	1789	AGE
Menschenalter, Zeit	Noun, common, feminine	892	TIME
Elle	Noun, common, feminine		
Öl	Noun, common, neuter	1484	OIL (ORGANIC SUBSTANCE)
Ölbaum	Noun, common, masculine		
Öl	Adjective	1484	OIL (ORGANIC SUBSTANCE)
Alfaius	Noun, proper		
Tempel	Noun, common, feminine		
außer	Conjunction		
anderswoher stammend	Adjective		
anders	Adverb	2504	DIFFERENT
anders	Adverb, Comparative	2504	DIFFERENT
anders gebildet, allegorisch	Participle, past		
mästen	Verb		
Eifer	Noun, common, neuter		
eifern	Verb		
zornig machen	Verb		
anderswo	Adverb, locative		
anderswohin	Adverb, directional		
anderswoher	Adverb, directional		
ein andrer	Adjective		
völlig	Adverb		
von allen Seiten her	Adverb, directional		
vollkommen	Noun, common, masculine		
Redlichkeit	Noun, common, feminine		
überhaupt	Adverb		
all, jeder, ganz	Adjective	2277	WHOLE
Allmächtiger	Noun, common, masculine		
alt werden	Verb		
alt	Adjective	1229	OLD
[Alul]	Noun, proper		
Ameinadab	Noun, proper		
amen	Foreign word		
Ammo	Noun, proper		
Schulter	Noun, common, masculine	1482	SHOULDER
amsa	Noun, common, masculine		
denn, nun	Particle		
darauf, außerdem	Adverb		
Gebot	Noun, common, feminine		
Empfehlung, Überlieferung	Noun, common, neuter		
in der Heimat befindlich	Adjective		
plötzlich	Adverb, temporal	2920	SUDDENLY
Lesung	Noun, common, feminine		
Auflegung	Noun, common, feminine		
Verborgenheit	Noun, common, feminine		
verborgen	Adjective		
auf gleiche Weise	Adverb		
Übermacht, Mißhandlung	Noun, common, feminine		
versteckte Meinung, vermutung	Noun, common, feminine		
ausatmen	Verb		
Ananias	Noun, proper		
Ananeias	<none>		
Erneuerung	Noun, common, feminine		
Ruhe	Noun, common	3458	SILENCE
Lästerung	Noun, common, feminine		
sichtbar	Adjective		
Anfang	Noun, common, feminine	1557	BEGINNING
anaþaima	Foreign word		
Anaþoþ	Noun, proper		
zukünftig	Adjective		
Billigkeit	Noun, common, feminine		
entlang, über __ hin, auf __ hin	Preposition, +A		
Lösegeld	Noun, common, feminine		
Tadel	Noun, common, neuter		
Antwort; Verteidigung	Noun, common, feminine		
Bekenntnis	Noun, common, neuter		
Gegenlohn; Vergeltung	Noun, common, neuter		
Abend	Noun, common, neuter	1629	EVENING
feindlich	Noun, common, masculine		
das Empfangen	Noun, common, neuter	694	GET
festhaltend	Adjective		
angenehm	Adjective		
Aufnahme, Annahme; Erhebung	Noun, common, feminine		
verabscheuungswert	Adjective		
Widersacher	Noun, common, masculine		
Gegner vor Gericht	Noun, common, masculine		
nüchtern, verständig	Adjective		
Antlitz	Noun, common, neuter	1560	FACE
freimütig, offen	Adverb	3235	OPEN (STATE)
offen	Adverb	3235	OPEN (STATE)
Preis	Noun, common, neuter	657	PRICE
Antwort	Noun, common, neuter		
Sold; Notdurft	Noun, common, feminine		
Angesicht	Noun, common, neuter		
Amt, Dienst	Noun, common, neuter	2430	OFFICE
etwas  leisten	Verb		
Diener	Noun, common, masculine		
Ende	Noun, common, masculine	742	END (OF SPACE)
Enthüllung, Offenbarung	Noun, common, feminine		
endlos	Adjective		
anders, sonst	Conjunction	2504	DIFFERENT
Andraias	Noun, proper		
Darbietung, Beistand	Noun, common, neuter		
Gegenwart, Angesicht, Person	Noun, common, neuter	683	PERSON
gegenwärtig	Adjective		
Anna	Noun, proper		
Annas	Noun, proper		
Sold	Noun, common, feminine		
Ano	Noun, proper		
Balken	Noun, common, masculine		
gnädig	Adjective		
Freude; Dank; Gnade, Gunst	Noun, common, feminine	2524	JOY
Antiaukia, Antiokia	Noun, proper		
anderer, zweiter	Adjective	1384	SECOND
Verschiedenheit	Noun, common, feminine		
anders	Adverb	2504	DIFFERENT
Appaullo	Noun, proper		
Apostolat	Noun, common, feminine		
Apostel	Noun, common, masculine		
Axt	Noun, common, feminine	677	AXE
Aar	Noun, common, masculine		
Arabia	Noun, proper		
Araita	Noun, proper		
Aram	Noun, proper		
arbeiten; dulden	Verb	1086	WORK (ACTIVITY)
seine Ehre setzen in, trachten nach	Verb		
mit Jem arbeiten; mit Jem leiden	Verb		
dúrcharbeiten	Verb		
Arbeit, Drangsal	Noun, common, feminine	984	WORK (LABOUR)
das Erbe	Noun, common, neuter		
der Erbe	Noun, common, masculine		
der Erbe	Noun, common, masculine		
Erbin	Noun, common, feminine		
Areimaþaia	Noun, proper		
Areistarkus	Noun, proper		
Arfaksad	Noun, proper		
Pfeil	Noun, common, feminine	977	ARROW
pflügen	Verb	1921	PLOUGH
hölzerner Kasten, Arche; Futteral, Beutel	Noun, common, feminine	2951	POUCH
Erzengel	Noun, common, masculine		
Arkippus	Noun, proper		
Barmherzigkeit	Noun, common, feminine		
Almosen	Noun, common, feminine		
barmherzig	Adjective		
Barmherzigkeit	Noun, common, feminine		
sich eines erbarmen	Verb		
sich eines erbarmen	Verb		
arm, beklagenswert	Adjective	1674	POOR
Arm	Noun, common, masculine	1673	ARM
sicher	Adverb		
aromata	Noun, common		
[Artaksairksus]	Noun, proper		
umsonst	Adverb		
Asaf	Noun, proper		
Sommer	Noun, common, feminine	1342	SUMMER
Aser	Noun, proper		
Asgad	Noun, proper		
Asia	Noun, proper		
Eselsmühle	Noun, common, feminine		
Esel	Noun, common, masculine	1862	DONKEY
Asmoþ	Noun, proper		
Mietling, Tagelöhner	Noun, common, masculine		
Aß, Pfennig	Noun, common, masculine		
Assaum	Noun, proper		
Sicherheit	Noun, common		
Ast	Noun, common, masculine	1531	BRANCH
von	Preposition, +AD	693	FROM
Jahr	Noun, common, neuter	1226	YEAR
Ater, Ateir	Noun, proper		
Zugang	Noun, common, neuter		
Saat	Noun, common	714	SEED
zum Essen austeilen	Verb		
Vater	Noun, common, masculine	1217	FATHER
das Beobachten	Noun, common, feminine		
Aþeinim	Noun, proper		
Jahre	Noun, common		
aber doch	Conjunction		
Seligkeit	Noun, common, feminine		
selig preisen	Verb		
selig	Adjective		
beglückt	Adjective		
allerdings; wohl; vielleicht	Adverb	2278	PERHAPS
Fenster	Noun, common, neuter	1375	WINDOW
zeigen	Verb	1039	SHOW
einem  zeigen	Verb		
Auge	Noun, common, neuter	1248	EYE
Lärm	Noun, common, masculine	1182	NOISE
lärmen	Verb	2895	MAKE NOISE
Ofen	Noun, common, masculine	859	STOVE
Ochse	Noun, common, masculine		
Ochse	Noun, common, masculine		
höher	Adjective, Comparative		
höchster	Adjective, Superlative		
denn, nämlich	Conjunction		
sich mehren	Verb		
hinzufügen zu	Verb		
hinzufügen	Verb	2882	ADD
sich vermehren, zunehmen	Verb	1041	INCREASE
sich mehren	Verb		
sich vermehren, zunehmen	Verb	1041	INCREASE
Auneiseifaurus	Noun, proper		
Aunisimus	Noun, proper		
Grabdenkmäler, Gräber	Noun, common		
Schweißtuch	Noun, common, neuter		
Krug	Noun, common, masculine	270	JUG
aurkeis	Noun, common, masculine		
Garten	Noun, common, masculine	586	GARDEN
Landmann, Winzer	Noun, common, masculine		
Ohr	Noun, common, neuter	1247	EAR
Wüste	Noun, common, feminine	3687	DESERT
öde	Adjective		
auþs	<none>		
Schafherde	Noun, common, neuter		
einem  danken	Verb		
Dank	Noun, common, neuter		
Schafstall	Noun, common, neuter		
Großmutter	Noun, common, feminine	1496	GRANDMOTHER
Axaïa	<none>		
üppig lebend	Noun, common		
leicht	Adjective	1052	LIGHT (WEIGHT)
Asche	Noun, common, feminine	646	ASH
am Tage der ungesäuerten Brode	Noun, common		
wenn	Conjunction, enclitic		
Babawis	Noun, proper		
Bett	Noun, common, neuter	1663	BED
Bagauis	Noun, proper		
Baum	Noun, common, masculine	906	TREE
beide	Numeral, other		
Baiailzaibul	Noun, proper		
einen  zwingen	Verb		
einen  zwingen	Verb		
Baidsaiïdan	<none>		
Bailiam	Noun, proper		
Bainiamein	Noun, proper		
Maulbeerbaum	Noun, common, masculine		
tragen 	Verb	700	CARRY
bringen	Verb	692	BRING
hineinbringen	Verb		
vertragen	Verb		
vergleichen	Verb	3429	COMPARE
hindurchtragen	Verb		
hinaustragen; hervorbringen; vorbringen di antworten; ertragen	Verb	833	ENDURE
hinaustragen	Verb		
Beroia in Thrakien	Noun, proper		
Gebirgsgegend	Noun, common, feminine		
einen bergen, bewahren	Verb	1997	PRESERVE
einen bergen, bewahren	Verb	1997	PRESERVE
Helle	Noun, common, feminine		
offenbaren	Verb		
offenbaren	Verb		
hell, offenbar	Adjective	679	BRIGHT
offen	Adverb, Comparative	3235	OPEN (STATE)
Bitterkeit	Noun, common, feminine		
bitter	Adjective	887	BITTER
Baiþil	Noun, proper		
[Baiþlaem]	<none>		
Baiþsaïdan	<none>		
beide	Numeral, other		
Schlauch	Noun, common, masculine		
Hals, Nacken	<none>	1333	NECK
Salbe	Noun, common, neuter	1926	OINTMENT
kühn, freimütig	Adverb		
Kühnheit, Freimut	Noun, common, feminine		
kühn sein, wagen	Verb	1779	DARE
Bosheit	Noun, common, feminine		
Pein; Strafe; Folter	Noun, common, feminine		
martern	Verb		
Banauis	Noun, proper		
Band, Fessel	Noun, common, feminine	2969	RIBBON
Gefangener	Noun, common, masculine	1072	PRISONER
Zeichen	Noun, common, feminine	1720	SIGN
ein Zeichen, einen Wink geben, andeuten	Verb	1720	SIGN
durch Winke andeuten	Verb		
Zeichen	Noun, common, feminine	1720	SIGN
Schlag, Wunde	Noun, common, feminine	1109	WOUND
Scheuer	Noun, common, masculine		
Barabba	Noun, proper		
Barakeias	Noun, proper		
Nicht	Noun, common, masculine	1240	NOT
von Gerste bereitet	Adjective		
Busen, Schoß	Noun, common, masculine	1402	BREAST
Kind	Noun, common, neuter	2099	CHILD
Barnabas	Noun, proper		
Kindlein	Noun, common, neuter		
kindliches Wesen	Noun, common, feminine		
Kindheit	Noun, common, neuter		
kindlich	Adjective		
Barteimaiaus	Noun, proper		
Barþaulaumaius	Noun, proper		
fromm verehren	Verb		
Bassus	Noun, proper		
besser	Adjective		
batista	Adjective, Superlative		
Vorteil erlangen	Verb		
Batwins	Noun, proper		
Wohnung	Noun, common, feminine		
wohnen, bewohnen	Verb	363	DWELL (LIVE, RESIDE)
Wohnung aufschlagen	Verb		
Bauanairgais	Noun, proper		
Bauauz	Noun, proper		
ausfegen	Verb		
aufblasen	Verb		
der Geborene	Noun, common, masculine		
Bürger	Noun, common, masculine	1032	CITIZEN
Turm, Burg; Stadt	Noun, common, feminine	1391	TOWN
Stadtmauer	Noun, common, feminine		
Bürde	Noun, common, feminine		
stumm	Adjective	1666	MUTE
auf etwas warten	Verb		
ausharren, ertragen	Verb	833	ENDURE
erwarten	Verb		
Sauerteig	Noun, common, neuter		
durchsäuern	Verb		
beißen	Verb	1403	BITE
schelten, bedrohen	Verb	1192	THREATEN
Beroþ	Noun, proper		
Eltern	Noun, common, masculine	505	PARENTS
Beþania	Noun, proper		
Beþlaihaim	Noun, proper		
Beþsaeida	Noun, proper		
Beþsfagei	Noun, proper		
bei, um	Preposition, +AD	1461	AT
Lager	Noun, common, feminine	1105	CAMP
Bitte, Gebet; Anliegen, Aufforderung	Noun, common, feminine		
Bettler	Noun, common, masculine		
bitten, beten, betteln	Verb	1828	ASK (REQUEST)
beten, bitten	Verb	1828	ASK (REQUEST)
erbitten	Verb		
Übervorteilung	Noun, common, neuter		
Übervorteilung	Noun, common		
üble Nachrede	Noun, common, neuter		
Prahler	Noun, common, masculine		
woran	Adverb		
zugleich aber rüste auch	Participle, present		
Beschneidung	Noun, common, neuter		
einen mit etwas  binden	Verb		
lösen; auflösen, erklären; entbinden von	Verb	1626	EXPLAIN
umbinden mit 	Verb		
binden	Verb	1917	TIE
Gefahr	Noun, common, feminine	1810	DANGER
in Gefahr kommen	Noun, common		
Murren; Verleumdungen	Noun, common, feminine		
Nachstellung, Anschlag	Noun, common, feminine		
Eltern	<none>	505	PARENTS
Befleckung	Noun, common, feminine		
Anstoß	Noun, common, neuter		
ringsum	Adverb		
nachher, später	Adverb	1685	AFTER
entbieten, befehlen	Verb	1998	COMMAND
verbieten	Verb	83	FORBID
beugen; sich beugen	Verb		
beugen	Verb		
Gewohnheit	Noun, common, neuter		
gewohnt	Adjective		
Tisch	Noun, common, masculine	1775	TABLE
sich vermischen mit	Verb		
abschaffen	Verb		
abschaffen	Verb		
Wohlwollen, Güte	Noun, common, feminine		
barmherzig sein	Verb		
sich erbarmen	Verb		
barmherzig; dem Guten zugetan	Adjective		
aufblasen	Verb		
schlagen	Verb	3308	STRIKE (SOMEONE)
durchbleuen	Verb		
verblenden	Verb		
erblinden	Verb		
blind	Adjective	1653	BLIND
Blume	Noun, common, masculine	239	FLOWER
verehren	Verb	257	WORSHIP
Verehrung	Noun, common, masculine		
Blut	Noun, common, neuter	946	BLOOD
blutflüssig	Participle, present		
reiben, zerreiben	Verb	1449	RUB
Buchstabe	Noun, common, feminine	1024	CHARACTER
Schriftgelehrter; Schreiber	Noun, common, masculine		
Nutzen	Noun, common, feminine	2929	BENEFIT
nützen, bessern	Verb		
verbessern, herstellen	Verb	2886	PRODUCE
im Augenblick	Noun, common		
Breite	Noun, common, feminine	2536	BREADTH
ausbreiten nach	Verb		
breit	Adjective	1243	WIDE
Ringen, Ringkampf	Noun, common, feminine		
verbrennen	Verb	141	BURN (SOMETHING)
in Brand stecken	Verb		
bringen	Verb	692	BRING
brechen; zerstören	Verb	681	DESTROY
zerbrechen	Verb	2558	BREAK (CLEAVE)
verwerfen, verachten	Verb	2715	DESPISE
brennen	Verb	1428	BURNING
verbrennen	Verb	141	BURN (SOMETHING)
Fieber	Noun, common, feminine	1534	FEVER
Bruder	Noun, common, masculine	1262	BROTHER
Brüder	Noun, common, masculine		
Bruderliebe	Noun, common, feminine		
gebrauchen	Verb		
ausgebrochen werden	Verb		
brauchbar	Adjective		
Brustharnisch	Noun, common, feminine		
Brunnen	Noun, common, masculine	954	WELL
Brust	Noun, common, feminine	1592	CHEST
Bräutigam	Noun, common, masculine	3282	GROOM
Neuvermählte, Schwiegertochter	Noun, common, feminine	1057	DAUGHTER-IN-LAW
kaufen	Verb	1869	BUY
verkaufen für	Verb		
erkaufen	Verb		
entbunden werden	Verb		
feines Linnen	Noun, common		
was ihm bevorstand	Verb		
säugen	Verb	2472	SUCKLE (BREASTFEED, NURSE)
Tag	Noun, common, masculine	1225	DAY (NOT NIGHT)
Teig	Noun, common, masculine		
Daikapaulis	Noun, proper		
Teilnahme, Gemeinschaft	Noun, common, feminine		
teilen, zuteilen, mitteilen	Verb	1119	DIVIDE
abteilen, einen Teil abgeben 	Verb		
verteilen, zerteilen	Verb		
verteilen unter 	Verb		
zuteilen, zerteilen	Verb		
Teil	Noun, common, feminine	779	PART
Besessener	Noun, common, masculine		
Grube; Schlucht, Tal	Noun, common, masculine	2539	PIT (POTHOLE)
zu Tal, abwärts, nieder; auf die Erde	Adverb, directional	1326	DOWN
unten	Adverb, locative	721	LOW
von unten, unten	Adverb, directional	721	LOW
Dalmatia	Noun, proper		
Damaskon	Noun, proper		
verdämmen, versperren	Verb		
Taubheit	Noun, common, feminine		
Taubheit	Noun, common, feminine		
verstocken	Verb		
ertauben, verstockt werden	Verb		
sich beeifern	Verb		
taub, verstockt	Adjective	996	DEAF
Tochter	Noun, common, feminine	1357	DAUGHTER
Bewirtung	Noun, common, feminine		
geschunden, geplagt	<none>		
Geruch	Noun, common, feminine	3704	ODOR (SMELL)
Abwaschung	Noun, common, feminine		
taufen	Verb		
taufen	Verb		
Täufer	Noun, common, masculine		
 Tor	Noun, common, neuter	2940	GATE
Türhüterin	Noun, common, feminine		
Türhüterin	Noun, common, feminine		
Türhüter	Noun, common, masculine		
Dauriþaius	Noun, proper		
 Tor, Tür	Noun, common, feminine	1567	DOOR
sich erkühnen, wagen	Verb	1779	DARE
das Absterben	Noun, common, feminine		
töten	Verb	1417	KILL
töten	Verb	1417	KILL
Tod bringen, töten	Verb	1417	KILL
sterben	Verb	1494	DIE
mit sterben	Verb		
tot	Adjective	1625	DEAD
zum Tode bestimmt	Adjective		
Tod	Noun, common, masculine	910	DEATH
Daweid	Noun, proper		
Demas	Noun, proper		
Verleumderin	Noun, common, feminine		
Teufel	Noun, common, masculine		
diabulus	<none>		
Diakon	Noun, common, masculine		
Didimus	Noun, proper		
kneten, aus Ton bilden	Verb	274	KNEAD
kneten, aus Ton bilden	Verb	274	KNEAD
Fülle	Noun, common, feminine		
Zerstreuung	Noun, common, feminine		
Auflösung di Abmarsch, das Scheiden	Noun, common, feminine		
Tiefe	Noun, common, feminine	2534	DEPTH
Tiefe	Noun, common, feminine	2534	DEPTH
vertiefen	Verb		
tief	Adjective	1593	DEEP
wildes Tier	Noun, common, neuter		
sterben	Verb	1494	DIE
af-dobnan	Verb		
geplagt	<none>		
urteilen, beurteilen	Verb	1818	ADJUDICATE
beurteilen, verurteilen	Verb	484	CONDEMN
verurteilen	Verb	484	CONDEMN
urteilen, entscheiden	Verb	1818	ADJUDICATE
Ruhm	Noun, common, masculine		
aushauen	Verb		
tragen	Verb	700	CARRY
zusammentragen	Verb		
Trank	Noun, common, neuter	731	BEVERAGE
tränken mit	Verb		
tränken	Verb		
treiben; plagen	Verb	2868	DRIVE (CATTLE)
Drachme	Noun, common, masculine		
Brocken; Brosamen	Noun, common, feminine		
Feldzug	Noun, common, masculine		
Kriegsdienste tun, zu Felde ziehn	Verb		
Feldzug	Noun, common, neuter		
hinabstürzen	Verb		
hinabstürzen	Verb		
Brocken; Brosamen	<none>		
treiben	Verb	2868	DRIVE (CATTLE)
austreiben, vertreiben	Verb		
etwas trinken	Verb		
sich antrinken, betrinken	Verb		
trinken	Verb	1401	DRINK
zu Felde ziehen	Verb		
fallen	Verb	1280	FALL
fallen in	Verb		
einen  befallen	Verb		
hinfallen	Verb	2894	TUMBLE (FALL DOWN)
herausfallen	Verb		
Abhang	Noun, common, feminine	3076	SLOPE
trüben; irre machen; aufwiegeln	Verb		
Aufruhr	Noun, common, masculine		
unruhig werden	Verb		
in Bestürzung geraten	Verb		
in Bestürzung geraten	Verb		
Trunkenheit	Noun, common, feminine		
Schall	Noun, common, masculine		
Fall	Noun, common, masculine		
du	Adverb	1215	THOU
taugen	Verb		
wozu	Adverb		
Gläubiger	Noun, common, masculine		
Schuld	Noun, common	134	FAULT
ein Fest feiern	Verb		
Fest	Noun, common, feminine	131	FESTIVAL
verstummen	Verb		
stumm	Adjective	1666	MUTE
deshalb, deswegen, dazu	Unassigned		
Torenrede	Noun, common, feminine		
Torheit	Noun, common, feminine		
rasen	Verb		
töricht	Adjective		
Eeiram	Noun, proper		
da	Particle	1937	THERE
Eiaireiko	Noun, proper		
Eikaunion	Noun, proper		
Eisen	Noun, common, neuter	621	IRON
Eisenband, Kette	Noun, common, feminine	1627	CHAIN
eisern	Adjective		
daher somit	Conjunction		
eiþau	Unassigned		
Esaïas	Noun, proper		
Esaw	Noun, proper		
Vater	Noun, common, masculine	1217	FATHER
[Faddasur]	Noun, proper		
Abkunft, Geschlecht, Stamm	Noun, common, neuter	344	TREE TRUNK
Geschlecht	Noun, common, feminine		
sich freuen über	Verb		
sich mitfreuen	Verb		
geschickt, geeignet	Adjective	1824	DEXTEROUS
fangen, greifen	Verb	702	CATCH
ergreifen, erfassen , ertappen	Verb	855	SEIZE
Freude über	Noun, common, feminine		
Genüge leisten	Verb		
zubereiten	Verb	1100	COOK (SOMETHING)
tadeln	Verb		
übervorteilen	Verb		
übervorteilen	Verb		
Vermögen	Noun, common, neuter		
Habsucht	Noun, common, feminine		
habsüchtig, geldgierig	Adjective		
Habsucht	Noun, common, feminine		
geldgierig	Adjective		
Erwerb	Noun, common, neuter		
Habsucht	Noun, common, feminine		
Schuldner	Noun, common, masculine		
faihuþraihna	Noun, common		
Berg	Noun, common, neuter	639	MOUNTAIN
wehklagen	Verb		
Welt	Noun, common, masculine	965	WORLD
Schuld; Grund; Vorwurf	Noun, common, feminine	134	FAULT
tadeln	Verb		
alt	Adjective	1229	OLD
Alter	Noun, common, feminine	1789	AGE
vorjährig	Adjective		
fern	Adverb, locative	1406	FAR
von fern	Adverb, directional		
Schauspiel	Noun, common, neuter		
Ferse	Noun, common, feminine	980	HEEL
Falaig	Noun, proper		
Fallasur	<none>		
falten, zusammenrollen	Verb	1470	FOLD
Stück Zeug	Noun, common, masculine		
Schlamm	Noun, common, neuter	640	MUD
Fanuel	Noun, proper		
Farais	Noun, proper		
wandern, ziehen	Verb	1455	PULL
Farao	Noun, proper		
Fareisaius	Noun, proper		
fahren	Verb	741	DRIVE
einlaufen, landen	Verb	1922	LAND (DESCEND)
Binde	Noun, common		
halten, festhalten; beobachten, bewachen	Verb	1448	HOLD
behalten, bewahren	Verb	1997	PRESERVE
das Halten, der Dienst	Noun, common, neuter	1448	HOLD
Zaun	Noun, common, feminine	1690	FENCE
Fuchs	Noun, common, feminine	1312	FOX
sie vorzulegen	Adverb		
vor	Adverb	1883	IN FRONT OF
Straße	Noun, common, neuter	667	ROAD
Vorhaut	Noun, common, neuter		
Hausverwalter	Noun, common, masculine		
Verwaltung	Noun, common, neuter		
Verwalter	Noun, common, masculine		
Vorhang	Noun, common, neuter		
Vorsteher, Gebieter	Noun, common, masculine		
Oberbefehl	Noun, common, neuter		
Wunderzeichen	Noun, common, neuter		
Loskaufung, Erlösung	Noun, common, feminine		
Vorurteil	Noun, common, feminine		
Vorhang	Noun, common, neuter		
Furcht	Noun, common, feminine		
sich fürchten	Verb	1419	FEAR (BE AFRAID)
furchtsam	Adjective		
